"Timestamp","How would you rate your experience level with SymPy?","How useful is the PyData theme?","What do you LIKE about the PyData theme?","What do you DISLIKE about the PyData theme?","How useful is the Book theme?","What do you LIKE about the Book theme?","What do you DISLIKE about the Book theme?","How useful is the Furo theme?","What do you LIKE about the Furo theme?","What do you DISLIKE about the Furo theme?","How useful is the Read the Docs (RTD) theme?","What do you LIKE about the Read the Docs (RTD) theme?","What do you DISLIKE about the Read the Docs (RTD) theme?","Are there any other comments you'd like to make?"
"2022/02/09 2:15:01 PM EST","3","3","Desktop: Clean look. The categories across the top. The search box in a fixed position on the left navbar. Good highlighting format (for ?highlight=xxx in URL). Good differentiation between regular text, links (bold, blue), and code (pink). Good permalink setup: ¶ appears when link text moused over, then ¶ highlights when moused over. Code blocks are clearly delineated (using gray box) and their background is the same as rest of page. Easy to triple-click to select a line of code from a code block. Phone: Fairly easy to copy code from a code block.","Desktop: In left navbar, not super-obvious which item this page is (highlighting not that strong). Distinction between h2 and h3 not that obvious, especially when h2 text is lowercase and h3 text is uppercase. Phone: Initial view of many pages (home, search) wastes a lot of vertical space. When tap a link in tree at top of page, there's no visible indication that the page content changed because link tree takes up entire screen height.","3","Desktop: Clear differentiation of headings from regular text, and h2 from h3; and current section in left navbar; due to blue color. Clear differentiation of function syntax and parameters due to background color. Permalinks nicely handled: ¶ appears when mouse over link text, then gets darker when mouse over ¶. Phone: Pretty good use of vertical space. Page content is front and center, and nicely presented when go to a new page. Previous and Next links at bottom of page give visitor suggestions of where to go next.","Phone: Icons at top right (fullscreen and download) unlikely to be used often, and draw visitor's attention. No index (link tree) for within current page. No constant reminder of which site I'm on--could we add ""SymPy"" or the logo to the header, between hamburger menu and two icons at top right?","3","Desktop: Clear differentiation between headings and regular text, and h2 from h3. Pretty clear which is current section on left navbar due to bolding. Permalink setup pretty good: ¶ appears when mouse over link text, cursor turns to hand when mouse over ¶. Phone: Having two hamburger menus, one for site tree and one for sections-on-this-page tree. Always displays site title at top.","Desktop: Not a big fan of background color in code blocks; could be improved by making the color lighter (less saturated). Phone: Bit of an ""interference effect"" when scroll vertically as top title bar hides (?) page content.","1","Desktop: Headings are nice and bold. Clear differentiation of h2 from h3. Using increasingly opaque colors in left navbar demonstrates where in site tree visitor is. Permalinks pretty good: ¶ appears when mouse over link text, cursor changes when mouse over ¶. Phone: .","Previous and Next links don't display what those page titles are (until visitor mouses over). Desktop: Not a big fan of color backgrounds of left navbar and especially to the right of page content; could be improved by changing colors. Determining which page vistior is on, in left navbar, could be easier: highlighting of current page is link a little weak. Phone: Very much dislike how left navbar pushes page content to the right; prefer overlay style of other themes. Very much dislike that there's no way to navigate to another page, or jump to another section of this page, after visitor scrolls down, because the hamburger menu isn't sticky.","PyData, Book, and Furo would all be good choices.
Category names (SymPy Tutorial, SymPy Guides, Explanation, Reference Documentation, Miscellaneous) should be shortened, for example remove ""SymPy"", change ""Reference Documentation"" to API(?)."
"2022/02/09 5:16:17 PM EST","3","3","","I don't like the right-hand TOC that only expands the section you're currently in.","3","","Same as pydata: I don't like the right-hand TOC that only expands the section you're currently in.","4","* I like the right-hand TOC where you always see all sections. For me, this is much better than the ones (book and pydata) where it only expands the section you're currently in.

* I think this one just ""looks"" the best overall.","","2","","left-hand TOC has issues

e.g. Try going to ""Reference Documentation"" > ""Topics"". Now under ""Topics"" you see the same sections as ""Reference Documentation"" repeated again. Now click ""Topics"" in here, and you actually get into ""Topics"".",""
"2022/02/11 11:34:15 AM EST","3","3","It's very clean looking. Easy to navigate.","","3","Again, very clean and easy to navigate. Works well on my phone, too.","","4","As before, clean and easy to navigate. Also, I like the light and dark theme options. Easy on the eyes.","","3","Nice and familiar.","",""
"2022/02/11 11:55:28 AM EST","3","2","","","1","","","3","","","3","","",""
"2022/02/11 12:20:45 PM EST","3","4","","","2","","","1","","","1","","",""
"2022/02/11 1:37:07 PM EST","5","3","It looks neat and has a floating content menu.","Nothing in particular but if possible there should be an option for dark mode.","2","","","4","In my opinion it is the perfect theme.","","2","","Again it looks like any other python project website. It doesn't stand out in particular.",""
"2022/02/15 11:22:31 PM EST","4","4","Reminds me of scipy","Doesn't remind me of sympy","3","","","4","It's dark. I like dark","","3","","",""
"2022/02/16 8:18:33 AM EST","2","2","","","2","","","3","","","4","","",""
"2022/02/17 4:59:32 AM EST","2","3","","","4","","","2","","","","","",""
"2022/02/17 3:55:54 PM EST","4","3","it's clean","content is too narrow","3","it's appealing to read","the contest has got to be really organized in this format","2","looks nice","colors are distracting","1","","too old fashioned",""
